A,540047,Dilip Buildcon,DBL
A,532839,Dish Tv(1),DISHTV
A,540701,Dishman Carbogen,DCAL
A,532488,Divi's Lab.(2),DIVISLAB
A,540699,Dixon Techno(2),DIXON
A,532868,Dlf Ltd(2),DLF
A,539524,DR Lal Pathlabs,LALPATHLAB
A,500124,DR Reddys Lab(5),DRREDDY
A,543591,Dreamfolks Serv (2),DREAMFOLKS
A,543947,DSP S&P BSE Sensex ETF,SENSEXADD
A,532610,Dwarkes Sugar(1),DWARKESH
A,543272,Easy Trip Plan(1),EASEMYTRIP
A,532927,Eclerx Serv.Ltd,ECLERX
A,532922,Edelweiss Fin(1),EDELWEISS
A,505200,Eicher Motor(1),EICHERMOT
A,500125,Eid Parry(1),EIDPARRY
A,500840,Eih Ltd(2),EIHOTEL
A,505700,Elecon Eng(2),ELECON
A,500128,Electrosteel(1),ELECTCAST
A,522074,Elgi Equipment(1),ELGIEQUIP
A,531162,Emami Ltd(1),EMAMILTD
A,540153,Endurance Tech.,ENDURANCE
A,532178,Engineers(i)(5),ENGINERSIN
A,543332,Epigral Limited,EPIGRAL
A,500135,EPL Limited(2),EPL
A,539844,Equitas Holdings,EQUITAS
A,543243,Equitas Small F.Bank,EQUITASBNK
A,540596,Eris Lifescienc(1),ERIS
A,500133,Esab India,ESABINDIA
A,500495,Escorts Kubota Ltd,ESCORTS
A,543482,Eureka Forbes Ltd,
A,531508,Eveready Ind(5),EVEREADY
A,500086,Exide Ind(1),EXIDEIND
A,531599,Fdc Ltd(1),FDC
A,500469,Federal Bank(2),FEDERALBNK
A,541557,Fine Organic Indus.,FINEORG
A,533333,Fineotex Chem(2),FCL
A,500144,Finolex Cabl(2),FINCABLES
A,500940,Finolex Ind.(2),FINPIPE
A,532809,Firstsource Solut,FSL
A,543663,Five-Star Busin.(1),FIVESTAR
A,500033,Force Motor,FORCEMOT
A,532843,Fortis Healthcare,FORTIS
A,543384,FSN E-Comm Vent(1),NYKAA
A,543652,Fusion Micro Finan,FUSION
A,505714,Gabriel Ind(1),GABRIEL
A,532155,Gail (I) Ltd,GAIL
A,540935,Galaxy surfactants,GALAXYSURF
A,514167,Ganesha Ecosphere,GANECOS
A,542011,Garden Reach ShipBld,GRSE
A,509557,Garware Technical,GARFIBRES
A,543489,Gateway Distriparks,GATEWAY
A,500620,GE Shiping,GESHIP
A,540755,General Insur.Corp(5),GICRE
A,530343,Genus PowerInf(1),GENUSPOWER
A,507815,Gillette Ind,GILLETTE
A,543245,Gland Pharma(1),GLAND
A,500660,Glaxo Ltd.,GLAXO
A,543322,Glenmark Life Sc(2),GLS
A,532296,Glenmark Phar(1),GLENMARK
A,543654,Global Health Ltd(2),MEDANTA
A,533104,Globus Spirits Ltd,GLOBUSSPR
A,505255,Gmm Pfaudler(2),GMMPFAUDLR
A,532754,Gmr Airports Infr(1),GMRINFRA
A,543401,Go Fashion (I) Ltd,GOCOLORS
A,532734,Godawari Pow(5),GPIL
A,500163,Godfrey Phil(2),GODFRYPHLP
A,540743,Godrej Agrovet,GODREJAGRO
A,532424,Godrej Consum(1),GODREJCP
A,500164,Godrej Indus(1),GODREJIND
A,533150,Godrej Propert(5),GODREJPROP
A,532630,Gokaldas Exp(5),GOKEX
A,543317,GR Infraprojects(5),GRINFRA
A,532482,Granules(i)(1),GRANULES
A,509488,Graphite Ind(2),GRAPHITE
A,500300,Grasim Ind.(2),GRASIM
A,533282,Gravita India(2),GRAVITA
A,501455,Greaves Cotton(2),GREAVESCOT
A,538979,Greenlam Ind.(1),GREENLAM
A,542857,Greenpanel Ind(1),GREENPANEL
A,506076,Grindwell Nort(5),GRINDWELL
A,530001,Guj.Alkali,GUJALKALI
A,524226,Guj.Amb.Exp(1),GAEL
A,500171,Guj.H.Chem,GHCL
A,532181,Guj.Mineral(2),GMDCLTD
A,500670,Guj.Narmada,GNFC
A,532702,Guj.Petronet,GSPL
A,500690,Guj.St.Fe.Ch(2),GSFC
A,542812,Gujarat Fluoroch(1),FLUOROCHEM
A,539336,Gujarat Gas Ltd(2),GUJGASLTD
A,533248,Gujarat Pipavav,GPPL
A,541019,H.G.Infra Eng.,HGINFRA
A,543227,Happiest Minds T(2),HAPPSTMNDS
A,531531,Hatsun Agro(1),HATSUN
A,517354,Havells Ind(1),HAVELLS
A,517271,HBL Nife Pow(1),HBLPOWER
A,532281,HCL Techno(2),HCLTECH
A,541729,HDFC Asset Manag(5),HDFCAMC
A,500180,HDFC Bank(2),HDFCBANK
A,540777,HDFC Insurance Co,HDFCLIFE
A,539517,HDFC S&P BSE SENSEX,HDFCSENSEX
A,500010,HDFC(2),HDFC
A,509631,HEG Ltd.,HEG
A,500292,Heideberg Cement,HEIDELBERG
A,500182,Hero Motocorp(2),HEROMOTOCO
A,524735,Hikal Ltd(2),HIKAL
A,500183,Him.Fut.Comm(1),HFCL
A,500185,Hind.Const(1),HCC
A,513599,Hind.Copper (5),HINDCOPPER
A,519126,Hind.Foods(2),HNDFDS
A,532859,Hind.Global Solut,HGS
A,500186,Hind.Oil Exp,HINDOILEXP
A,500104,Hind.Petrol,HINDPETRO
A,500696,Hind.Unilever(1),HINDUNILVR
A,500188,Hind.Zinc(2),HINDZINC
A,500440,Hindalco(1),HINDALCO
A,541154,Hindustan Aeron.(5),HAL
A,542905,Hindware Home Innov(2),HINDWAREAP
A,543187,Hitachi Energy (2),POWERINDIA
A,522215,HLE Glasscoat(2),HLEGLAS
A,543259,Home First Fin.(2),HOMEFIRST
A,517174,Honeywell,HONAUT
A,540530,Housing & Urban Dev,HUDCO
A,532174,ICICI Bankin(2),ICICIBANK
A,540716,ICICI Lombard,ICICIGI
A,555555,ICICI PRUD SENSEX ETF,SENSEXIETF
A,540133,ICICI Prudent Life,ICICIPRULI
A,541179,ICICI Securit(5),ISEC
A,541313,Icici500 (1),BSE500IETF
A,532835,Icra Ltd,ICRA
A,500116,IDBI Ltd.,IDBI
A,539437,IDFC FIRST BANK L,IDFCFIRSTB
A,532659,Idfc Ltd,IDFC
A,540154,IDFC Sensex ETF,
A,500106,IFCI Ltd.,IFCI
A,532636,IIFL Holding (2),IIFL
A,530005,India Cement,INDIACEM
A,535789,Indiabul Hous.F(2),IBULHSGFIN
A,532832,Indiabul Real(2),IBREALEST
A,542726,IndiaMart Intermesh,INDIAMART
A,532814,Indian Bank,INDIANB
A,540750,Indian Energy Exc(1),IEX
A,500850,Indian Hotel(1),INDHOTEL
A,530965,Indian Oil Corp,IOC
A,532388,Indian Over.,IOB
A,543257,Indian Rail Fin.Corp,IRFC
A,543258,Indigo Paints Ltd,INDIGOPNTS
A,521016,Indo Count(2),ICIL
A,532612,Indoco Rem(2),INDOCO
A,532514,Indra Gas(2),IGL
A,534816,Indus Towers,INDUSTOWER
A,532187,Indusind Bnk,INDUSINDBK
A,539807,Infibeam Avenues(1),INFIBEAM
A,532777,Info Edge,NAUKRI
A,500209,Infosys Ltd(5),INFY
A,500210,Ingersoll,INGERRAND
A,532706,Inox Leisure,INOXLEISUR
A,539083,INOX WIND LTD,INOXWIND
A,538835,Intellect Design(5),INTELLECT
A,539448,InterGlobe Aviation,INDIGO
A,524164,IOL Chem & Pharma,IOLCP
A,500214,ION Exchange(1),IONEXCHANG
A,524494,Ipca Lab.Ltd (1),IPCALAB
A,532947,IRB Infrastruct(1),IRB
A,541956,Ircon Inter.Ltd(2),IRCON
A,542830,IRCTC Railway Cater(2),IRCTC
A,533033,ISGEC Heavy Eng.(1),ISGEC
A,500875,Itc Ltd(1),ITC
A,509496,Itd Cement(1),ITDCEM
A,523610,ITI Ltd.,ITI
A,532209,J&K Bank(1),J&KBANK
A,532940,J.Kumar Infrapro(5),JKIL
A,512237,Jai Corp Ltd(1),JAICORPLTD
A,500219,Jain Irri(2),JISLJALEQS
A,532532,Jaipra.Associt(2),JPASSOCIAT
A,520051,Jamna Auto(1),JAMNAAUTO
A,506943,Jb Chemical(1),JBCHEPHARM
A,532605,JBM Auto(2),JBMA
A,500378,Jind.Saw(2),JINDALSAW
A,539597,Jind.Stain(His)(1),JSLHISAR
A,532508,Jind.Stainl(2),JSL
A,532286,Jind.Steel Pow(1),JINDALSTEL
A,531543,Jind.World(1),JINDWORLD
A,532644,Jk Cement,JKCEMENT
A,500380,JK Laksh.Cem(5),JKLAKSHMI
A,532162,JK Paper,JKPAPER
A,530007,JK Tyre & Ind(2),JKTYRE
A,523405,JM Financial(1),JMFINANCIL
A,533148,Jsw Energy Ltd,JSWENERGY
A,500228,JSW Steel(1),JSWSTEEL
A,534600,JTL Indus.Ltd(2),JTLIND
A,533155,Jubilant Foodwork(2),JUBLFOOD
A,543271,Jubilant Ingrevia(1),JUBLINGREA
A,530019,Jubilant Pharmova(1),JUBLPHARMA
A,533272,Jupiter Wagons Limit,JWL
A,535648,Just Dial Ltd,JUSTDIAL
A,532926,Jyothy Lab.(1),JYOTHYLAB
A,500233,Kajaria Cer(1),KAJARIACER
A,522287,Kalpa.Projects(2),KPIL
A,543278,Kalyan Jewellers,KALYANKJIL
A,532468,Kama Holdings Ltd,
A,500165,Kansai Nerolec(1),KANSAINER
A,532652,Karnatka Bank,KTKBANK
A,532899,Kaveri Seed (2),KSCL
A,543664,Kaynes Techno.India,KAYNES
A,532714,Kec Intern(2),KEC
A,517569,Kei Indust(2),KEI
A,502937,Kesoram Ind.,KESORAMIND
A,543720,KFin Techno.Ltd,KFINTECH
A,540680,KIOCL Limited,KIOCL
